region_code;full_name;short_name
01;Республика Адыгея;АДГ
02;Республика Башкортостан;БАШ
03;Республика Бурятия;БУР
04;Республика Алтай;АЛТ
05;Республика Дагестан;ДАГ
06;Республика Ингушетия;ИНГ
07;Кабардино-Балкарская Республика;КБЛ
08;Республика Калмыкия;КЛМ
09;Карачаево-Черкесская Республика;КЧР
10;Республика Карелия;КАР
11;Республика Коми;КОМ
12;Республика Марий Эл;МРЛ
13;Республика Мордовия;МРД
14;Республика Саха (Якутия);САХ
15;Республика Северная Осетия;СОА
16;Республика Татарстан;ТАТ
17;Республика Тыва;ТЫВ
18;Удмуртская Республика;УДМ
19;Республика Хакасия;ХАК
20;Чеченская Республика;ЧЕЧ
21;Чувашская Республика;ЧУВ
22;Алтайский край;АЛТ
23;Краснодарский край;КРД
24;Красноярский край;КРЯ
25;Приморский край;ПРМ
26;Ставропольский край;СТВ
27;Хабаровский край;ХАБ
28;Амурская область;АМР
29;Архангельская область;АРХ
30;Астраханская область;АСТ
31;Белгородская область;БЛГ
32;Брянская область;БРН
33;Владимирская область;ВЛД
34;Волгоградская область;ВЛГ
35;Вологодская область;ВОЛ
36;Воронежская область;ВОР
37;Ивановская область;ИВН
38;Иркутская область;ИРК
39;Калининградская область;КЛН
40;Калужская область;КАЛ
41;Камчатский край;КМЧ
42;Кемеровская область;КМР
43;Кировская область;КИР
44;Костромская область;КСТ
45;Курганская область;КРГ
46;Курская область;КУР
47;Ленинградская область;ЛЕН
48;Липецкая область;ЛИП
49;Магаданская область;МГД
50;Московская область;МСК
